,event_id,division,round,team1,team2,score1,score2,match_link
48,7349,Semi-Pro X-Ball™,Quarter-Finals,Brawl,Hurricanes,7,5,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=500
49,7349,Semi-Pro X-Ball™,Quarter-Finals,Carolina Crisis,New Orleans Hurricanes,6,5,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=501
50,7349,Semi-Pro X-Ball™,Quarter-Finals,Brooklyn Bears,Wolfpack,5,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=503
51,7349,Semi-Pro X-Ball™,Quarter-Finals,Annapolis A-Team,CEP,9,5,/cgi-bin/showgame.cgi?EID=7349&size=255&round=3&GID=502
52,7349,Semi-Pro X-Ball™,Semi-Finals,Carolina Crisis,Brooklyn Bears,5,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=4&GID=501
53,7349,Semi-Pro X-Ball™,Semi-Finals,Brawl,Annapolis A-Team,6,5,/cgi-bin/showgame.cgi?EID=7349&size=255&round=4&GID=500
54,7349,Division 2 X-Ball™,Prelims,Austin Notorious ,TPP Totem,4,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2046
55,7349,Division 2 X-Ball™,Prelims,TPP Totem,Toronto Chargers D2,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2048
56,7349,Division 2 X-Ball™,Prelims,Seattle Cartel,Huntsville Hype,6,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2045
57,7349,Division 2 X-Ball™,Prelims,MX DEAD LEGION,Seattle Cartel,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2047
58,7349,Division 2 X-Ball™,Prelims,Huntsville Hype,Toronto Chargers D2,6,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2246
59,7349,Division 2 X-Ball™,Prelims,Killers,THE FARM,5,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2056
60,7349,Division 2 X-Ball™,Prelims,Grit X,XPX Outlaws,5,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2058
61,7349,Division 2 X-Ball™,Prelims,THE FARM,JUNGLE CATS,8,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2059
